episode,reward
1,-37.049096
2,-26.486099
3,-22.726459
4,-31.298188
5,-40.347814
6,-16.050389
7,-23.838585
8,-36.788265
9,-35.446892
10,-32.217014
11,-33.202762
12,-27.689773
13,-27.998923
14,-6.288676
15,-27.424966
16,-27.939353
17,-26.719139
18,-30.064948
19,-23.721325
20,-34.387434
21,-37.557886
22,-34.320002
23,-28.583814
24,-33.690613
25,-31.945485
26,-32.705637
27,-23.46638
28,-35.625104
29,-40.517386
30,-40.789088
31,-30.595017
32,22.365036
33,-34.742913
34,-37.155183
35,-37.56333
36,-35.207764
37,-19.31849
38,-11.030092
39,-11.00256
40,-27.566262
41,-8.983633
42,-35.713808
43,-44.539926
44,-32.880832
45,-18.84451
46,-22.949553
47,-34.767643
48,-28.951461
49,-30.080839
50,-13.547148
51,-23.513359
52,-33.816174
53,0.320224
54,-34.118631
55,-24.941799
56,-25.805893
57,-25.738453
58,4.298701
59,35.707182
60,-11.747065
61,-36.276661
62,-31.146563
63,-37.265725
64,-37.102221
65,-26.850122
66,21.781039
67,2.278632
68,-30.410945
69,-33.640209
70,-23.15018
71,-21.96751
72,-8.329444
73,-20.439939
74,-19.938308
75,-28.250381
76,-38.68944
77,3.05333
78,-25.407861
79,-17.769205
80,-17.277844
81,-31.961014
82,-26.117219
83,-17.780448
84,-23.318293
85,-18.562192
86,-7.039277
87,-21.674703
88,-15.163093
89,1.537844
90,-27.006272
91,-3.515589
92,-16.81322
93,-21.172396
94,-18.219313
95,-27.600516
96,-16.709736
97,-29.205934
98,-28.649095
99,-49.446442
100,-16.680114
101,13.365607
102,-27.453086
103,-36.963748
104,-23.003137
105,-24.430836
106,-16.0105
107,-10.275332
108,10.623064
109,-8.283173
110,-10.679069
111,-35.713519
112,-38.746946
113,-0.762976
114,-11.346374
115,8.815443
116,-33.140294
117,8.434564
118,-10.776106
119,-31.511038
120,32.760531
121,-10.819787
122,-42.285953
123,-35.062104
124,8.783668
125,11.357673
126,-20.215961
127,-36.398204
128,-16.770889
129,-27.015537
130,-22.044915
131,-41.214076
132,-33.424888
133,12.405475
134,3.003166
135,-12.377723
136,6.716033
137,-8.957428
138,-8.619381
139,-19.368006
140,-21.510155
141,-23.725621
142,-9.685206
143,-23.377298
144,-26.908523
145,-29.520989
146,-11.236433
147,-19.80295
148,-12.966298
149,-21.887587
150,-14.893572
151,-5.879062
152,-15.368677
153,-26.341492
154,-6.6815
155,3.775006
156,16.903931
157,-11.179769
158,-25.576908
159,-16.511816
160,-29.490067
161,-14.745568
162,-3.65573
163,-25.405055
164,-33.779037
165,-25.484739
166,-16.314186
167,-28.961693
168,11.002404
169,4.568393
170,-26.412926
171,28.637806
172,-36.833309
173,-21.660826
174,11.715139
175,33.695395
176,-15.453597
177,-12.728172
178,-27.503088
179,-32.857773
180,3.212268
181,0.827244
182,-12.21985
183,-13.055167
184,-14.954819
185,7.003004
186,-19.988358
187,-16.509976
188,-12.720168
189,-25.820045
190,-14.329267
191,-19.491019
192,-32.440438
193,-28.434178
194,-9.361301
195,4.63457
196,-10.43275
197,-12.810578
198,-25.68171
199,2.676798
200,-27.259225
201,-12.830854
202,-10.968729
203,-8.386549
204,-2.614957
205,-28.463632
206,-23.374653
207,-15.150724
208,0.48534
209,-23.870668
210,-18.621225
211,-28.890285
212,-16.875251
213,-20.308117
214,-11.559977
215,-26.257329
216,-8.620182
217,-4.713154
218,-18.27724
219,-21.560029
220,-14.363885
221,-19.753797
222,-15.887341
223,-19.809809
224,-20.497706
225,12.744535
226,-27.873217
227,-15.234056
228,-25.411635
229,-10.872183
230,-6.861115
231,21.692138
232,-3.196705
233,-22.351865
234,-13.741521
235,-13.70924
236,-15.655634
237,-17.346089
238,-20.656119
239,7.003145
240,-8.135569
241,-24.501092
242,-8.995327
243,-16.349517
244,-19.91095
245,-31.376079
246,-9.530308
247,-6.744436
248,-0.82808
249,-7.535956
250,-22.122969
251,-21.039163
252,-22.133169
253,-18.066697
254,-38.882486
255,9.241466
256,-9.980194
257,-5.55293
258,-20.461356
259,-17.647036
260,-5.587245
261,-6.865611
262,-11.366904
263,-12.624214
264,-19.168749
265,-18.73113
266,-22.58803
267,1.310562
268,-26.68054
269,-22.428141
270,-20.092515
271,1.321087
272,5.808108
273,-21.617195
274,-23.136926
275,-23.008005
276,22.147162
277,-22.952184
278,3.955515
279,-21.183428
280,-11.89891
281,-5.23264
282,-20.873868
283,8.992427
284,-27.261003
285,-11.339023
286,-9.267376
287,-16.674974
288,-15.626389
289,-7.924085
290,-15.55471
291,-33.014006
292,6.102144
293,-10.56731
294,-17.622677
295,-12.058817
296,-20.425961
297,-6.12669
298,-13.724393
299,3.733362
300,-15.281193
301,-3.081351
302,-20.883023
303,-8.010671
304,-16.933062
305,4.273218
306,9.22305
307,22.935527
308,3.874794
309,-17.748228
310,3.135809
311,-11.310191
312,-14.080148
313,-0.886778
314,-7.882968
315,-5.718219
316,4.926014
317,-5.027897
318,-11.697536
319,-12.791353
320,-11.094611
321,-19.115242
322,-10.563176
323,-10.834798
324,-13.282651
325,-20.461977
326,-28.084166
327,-13.618629
328,-13.140828
329,2.03475
330,-14.812266
331,-14.943573
332,3.955498
333,3.996293
334,-4.175371
335,-11.811695
336,-34.079783
337,-32.67979
338,-16.632234
339,-22.553582
340,-6.334182
341,-19.874989
342,-22.459587
343,-6.64895
344,-23.7351
345,-8.970919
346,-17.907956
347,-15.540235
348,-14.72906
349,0.916904
350,-8.252996
351,-6.143845
352,-10.83361
353,34.369135
354,-18.418698
355,33.020648
356,43.091274
357,-11.544218
358,-9.750703
359,-2.543114
360,-24.685889
361,-33.598603
362,-3.911798
363,-14.25438
364,-16.458849
365,13.504836
366,-13.247375
367,-20.854802
368,-20.483148
369,-17.552984
370,-17.191681
371,-23.531526
372,-2.7079
373,-16.318424
374,-1.018309
375,7.942909
376,15.367553
377,-18.89157
378,-18.731061
379,15.494187
380,17.537571
381,3.632538
382,-7.6689
383,21.860557
384,25.699198
385,-10.097341
386,-9.449441
387,26.341268
388,10.290556
389,-16.119309
390,-30.636646
391,16.558826
392,1.18004
393,-16.065699
394,-5.588163
395,53.57926
396,8.204781
397,-2.601799
398,-19.682258
399,34.888299
400,-16.803408
401,-20.033414
402,-5.568653
403,-6.071012
404,-17.148665
405,-18.688827
406,-19.727551
407,-23.101154
408,-19.586881
409,-19.856639
410,-9.332705
411,-3.030495
412,-1.533112
413,-20.77139
414,-19.783192
415,-7.873956
416,-0.410045
417,28.462775
418,-13.907705
419,-23.649045
420,-20.468633
421,-14.885512
422,-1.81274
423,-15.908144
424,-9.879169
425,-8.688299
426,-8.839308
427,14.265197
428,7.677205
429,-24.445671
430,-23.763057
431,-4.603547
432,-32.209563
433,-26.832045
434,-27.086044
435,-17.087432
436,12.737749
437,7.027454
438,-22.863629
439,-5.228547
440,0.88675
441,-19.449885
442,-1.192706
443,-1.735403
444,-10.505624
445,-3.723605
446,30.790165
447,-30.77191
448,7.356831
449,-20.951518
450,-11.325867
451,7.666661
452,-10.621721
453,24.812941
454,-11.473871
455,55.904889
456,-4.896529
457,32.693541
458,-7.518057
459,35.357594
460,0.443143
461,-7.255309
462,-17.856642
463,3.393365
464,5.606566
465,12.5638
466,-22.303229
467,-7.723786
468,3.871395
469,-4.699082
470,-15.415608
471,7.549486
472,-0.993446
473,-17.945765
474,2.76632
475,13.286737
476,-13.129902
477,3.895183
478,9.540498
479,-11.296208
480,-13.562576
481,-8.456246
482,-16.633399
483,-10.472147
484,-26.015888
485,-23.419661
486,0.976236
487,-5.432916
488,-7.38316
489,-12.712945
490,-23.447427
491,-17.510716
492,1.974577
493,-2.624868
494,-15.539448
495,-20.299294
496,-20.582042
497,-20.872848
498,-21.676754
499,1.985311
500,-10.770525
501,30.387229
502,-11.819115
503,-12.43376
504,-9.844803
505,-8.779252
506,-21.463367
507,-32.574571
508,-24.25051
509,-0.518206
510,27.666589
511,-26.509698
512,-22.564792
513,-3.659968
514,-43.438081
515,-8.484928
516,-2.540307
517,0.929478
518,17.434499
519,-34.099241
520,-25.102237
521,24.520963
522,-16.830549
523,23.31772
524,-3.414798
525,-14.004621
526,-2.059505
527,-9.525228
528,-1.814494
529,23.963373
530,-16.780444
531,71.070662
532,-24.40613
533,-31.324413
534,20.084717
535,4.481764
536,3.058973
537,-11.785289
538,-10.913397
539,6.192958
540,-2.668509
541,-13.890778
542,-18.863842
543,-23.127569
544,-4.290613
545,-5.834161
546,8.810941
547,59.661744
548,-19.498601
549,-6.740082
550,316.211492
551,15.59572
552,19.95582
553,20.702018
554,-13.212791
555,29.216985
556,13.199934
557,-27.162786
558,-17.579167
559,2.670735
560,3.811142
561,-16.047633
562,-5.016399
563,28.174342
564,-20.074866
565,-13.087785
566,-7.668557
567,2.101427
568,31.166253
569,-9.842986
570,4.102834
571,-11.347992
572,-2.179605
573,-12.885125
574,35.389075
575,-7.827465
576,-10.637295
577,-13.669347
578,-2.531601
579,-7.189102
580,-0.529676
581,-17.892282
582,33.744743
583,24.446278
584,-26.785742
585,-7.604935
586,-5.956876
587,56.717091
588,6.690838
589,2.791585
590,-21.662913
591,-20.241755
592,-2.427389
593,-14.44297
594,48.973561
595,-18.824183
596,14.978265
597,-10.861238
598,-2.721984
599,-0.393806
600,2.646558
601,46.828788
602,2.377958
603,12.769464
604,43.880094
605,-0.152708
606,27.701183
607,-20.751191
608,-18.938249
609,-34.269036
610,-15.790966
611,-32.935974
612,-18.828664
613,5.276751
614,7.208966
615,-9.221474
616,11.87207
617,-14.134855
618,-14.029376
619,-30.397919
620,263.0011
621,-25.627951
622,-8.056774
623,11.843364
624,-10.845569
625,-8.657681
626,23.540383
627,6.467068
628,-4.908326
629,0.484494
630,9.748607
631,11.731937
632,6.845114
633,12.026552
634,9.231636
635,20.024904
636,-20.104113
637,11.014289
638,-22.188455
639,-28.093037
640,9.448437
641,324.175756
642,-23.148198
643,-37.480799
644,-14.744758
645,39.121592
646,-25.062436
647,-8.991338
648,92.765785
649,-17.572667
650,34.935909
651,76.420142
652,-5.750543
653,89.994438
654,9.00694
655,3.743209
656,-9.367206
657,-15.796826
658,14.526171
659,53.211039
660,-32.951561
661,-1.584155
