episode,reward
1,-33.678921045377365
2,-32.47767344622828
3,-31.935387738271373
4,-37.871906343169506
5,-28.198902111408557
6,-43.691098035440085
7,-27.521137937953988
8,-35.998412328778294
9,-38.04310758254289
10,-25.902421348602033
11,-27.421491093436398
12,-33.15167793634525
13,-24.49857624177001
14,-32.887968452799385
15,-37.47863659661676
16,-35.194762683463594
17,-26.866372697115214
18,-17.803652192938777
19,-32.941357436407635
20,-36.46496976915672
21,-31.30167492841607
22,-28.584354995962045
23,-42.807179529792535
24,-19.140280394989382
25,-26.618690879704275
26,-28.666450121480104
27,-30.153239227464077
28,-28.920739242065746
29,-30.88102548126523
30,-39.40956567867533
31,-39.53778907302924
32,-25.14469738340439
33,-32.694345231269324
34,-37.09750671938787
35,-21.086539455444377
36,-19.86438330458885
37,-29.992493238393237
38,-33.99933540127812
39,-29.262800747667892
40,-38.78434541497223
41,-24.800191479288408
42,-29.82885346386187
43,-25.471966698355324
44,-28.732903548407172
45,-46.89754081360958
46,-35.69601685671
47,-29.513484527995125
48,-33.777481659868094
49,-23.99122534009988
50,-6.267184539198176
51,-35.43353789485777
52,-37.83459955363748
53,-25.94703565881329
54,-42.82498331775023
55,-39.1931881144082
56,-32.57903587227717
57,-33.225568439301476
58,-30.604853570556006
59,-12.25849198098879
60,-42.34302047296682
61,-45.618083025945396
62,-32.88042066200598
63,-24.865754088519196
64,-20.949924665983993
65,-29.981067704495498
66,-43.633784678967885
67,-27.12208802885643
68,28.178908387404114
69,-33.86056613403529
70,-32.54769563312057
71,-16.683294859716902
72,-19.860002262625652
73,-32.859688521189426
74,-35.30285938584941
75,-28.049944578708
76,-54.60449866946059
77,-28.59530391359302
78,-24.758700463405642
79,-31.309178868746567
80,-32.12569196992763
81,-30.53239893224677
82,-32.295466639722854
83,-25.726170272085866
84,-36.50085240514451
85,-15.189643932848288
86,-36.2161364205975
87,-36.664074545379165
88,-18.693984179617356
89,-30.89859296952894
90,-25.1736290904424
91,-24.236543755814395
92,-37.27171513115235
93,-24.550161317316054
94,-31.446572611188458
95,-28.677022530202798
96,-27.857628134014227
97,-7.773424965058588
98,-19.95610631385036
99,-29.3987483602159
100,-36.633857592439924
101,-24.711397200371128
102,-17.74917719421783
103,-25.327803086712105
104,-38.06426544091901
105,-20.086070345089613
106,-16.207447132627212
107,-34.32103242204029
108,-12.606043044595186
109,-32.58795490606727
110,-16.593030177258278
111,-14.655803732194954
112,-44.770805640791274
113,-48.375851608119646
114,-39.13608705654221
115,-8.479511834319098
116,-29.393642591858473
117,-19.902075457532295
118,-24.715252330258394
119,-20.923288648996156
120,-35.73634186568656
121,-46.54213900464265
122,-65.61669788359929
123,-34.14686002591921
124,-28.147272695597422
125,-24.254596804137346
126,-2.138326585333381
127,-25.15333101939066
128,-5.53651053012851
129,-31.803093566302632
130,-12.117339645792804
131,-23.259744420651856
132,-26.955452767277574
133,-53.54694261816546
134,-16.00124894278881
135,-25.898559470932867
136,-7.982751884461674
137,-13.725135855422767
138,-6.5250421254141315
139,-18.33015509497647
140,-36.18577500077296
141,-26.48921098336627
142,-20.120682906933105
143,-34.86372260105786
144,-11.60328679699403
145,-30.825748967017482
146,-22.945749479937003
147,-30.64861060351044
148,-21.23421747176946
149,-19.36003851145812
150,2.612363902784473
151,-33.91421821436115
152,-24.064786052258846
153,-23.017119539131148
154,-14.384645011413877
155,-2.748699447805258
156,-29.346362768421585
157,-26.341349842307643
158,-25.842044448365716
159,-31.611393988509093
160,-22.634530702411343
161,-20.54908017481958
162,-32.00327635991755
163,-35.711763415041474
164,-17.32526688913611
165,-20.61896531845164
166,-3.916935532420446
167,-13.689401163774921
168,-14.75645382149029
169,-28.279196784574467
170,-33.319970447625174
171,-20.587231444480043
172,-28.730747376338265
173,-14.343829708644094
174,18.056007344813132
175,-36.467445929626024
176,-17.082601678625387
177,-13.43089548740987
178,3.15981776786505
179,-11.973918340841383
180,-17.17750121183261
181,-14.277547292687807
182,-21.413764547982225
183,18.097350715142284
184,-0.9839454450198488
185,-12.38247432321338
186,-8.09949827778268
187,-0.5088272338767297
188,-43.23040785479671
189,-21.357611248434985
190,-8.025715318436454
191,1.021783525674003
192,-41.378565448464784
193,-26.63027591141872
194,-28.801303539804874
195,-14.341089792194364
196,-37.213975215943414
197,0.6718455102334744
